test_ar_order,layer,lag,is_within_ar_order,context_normalized_attention,raw_attention
2,1,4,0,0.0444340743124485,0.042601652443408966
2,1,5,0,0.039013076573610306,0.0375671461224556
2,1,6,0,0.037074942141771317,0.035714369267225266
2,1,7,0,0.03211396932601929,0.031069455668330193
2,1,8,0,0.030110351741313934,0.029087182134389877
2,1,9,0,0.030982336029410362,0.02995521016418934
2,1,10,0,0.031101413071155548,0.03004330024123192
2,1,11,0,0.02783331088721752,0.02691056579351425
2,1,12,0,0.023651152849197388,0.02295580506324768
2,1,13,0,0.020930849015712738,0.020357541739940643
2,1,14,0,0.01911379210650921,0.018626078963279724
2,1,15,0,0.01967213675379753,0.019157573580741882
2,1,16,0,0.02032606489956379,0.0197842326015234
2,1,17,0,0.02080554887652397,0.02024957351386547
2,1,18,0,0.019897112622857094,0.019376879557967186
2,1,19,0,0.018715763464570045,0.018246430903673172
2,1,20,0,0.018474018201231956,0.01799534261226654
2,1,21,0,0.01909230276942253,0.018570587038993835
2,1,22,0,0.020984897390007973,0.020350877195596695
2,1,23,0,0.02172383852303028,0.021026235073804855
2,1,24,0,0.020404091104865074,0.019745003432035446
2,1,25,0,0.019178995862603188,0.018573017790913582
2,1,26,0,0.016689114272594452,0.016186384484171867
2,1,27,0,0.01622583344578743,0.01572875864803791
2,1,28,0,0.01573813706636429,0.0152131337672472
2,1,29,0,0.015399007126688957,0.014888640493154526
2,1,30,0,0.013162528164684772,0.012703394517302513
2,1,31,0,0.009368079714477062,0.009089760482311249
2,1,32,0,0.008097805082798004,0.007880342192947865
3,0,1,1,0.43416285514831543,0.37675780057907104
3,0,2,1,0.3138849437236786,0.2967071235179901
3,0,3,1,0.2511441111564636,0.24963828921318054
3,0,4,0,0.0007119677029550076,0.0007040845812298357
3,0,5,0,7.397964907340793e-09,7.869236373636568e-10
3,0,6,0,2.9494622022507855e-11,5.629208904567307e-12
3,0,7,0,8.606027696034246e-11,8.518370731014357e-11
3,0,8,0,3.8135591906574007e-10,3.8135283819684673e-10
3,0,9,0,3.5499817840900505e-06,3.5499817840900505e-06
3,0,10,0,1.5774715222960367e-07,1.5774715222960367e-07
3,0,11,0,1.0768619204898702e-13,1.0768596165602537e-13
3,0,12,0,1.1612989624520806e-17,1.926670323529431e-18
3,0,13,0,1.6600478655007418e-14,7.476188078174312e-15
3,0,14,0,1.1736928703237615e-12,2.7098649387803653e-13
3,0,15,0,2.653045072520399e-08,2.6472385172837676e-08
3,0,16,0,1.0185000292040058e-06,1.0181346397075686e-06
3,0,17,0,5.980030692853688e-09,1.5073421399947051e-09
3,0,18,0,5.057003349406841e-08,2.4665819609026585e-08
3,0,19,0,3.764699556541018e-07,3.80858224957592e-08
3,0,20,0,5.7401127406819796e-08,1.1923422249537907e-08
3,0,21,0,9.6023541118484e-07,9.600787507224595e-07
3,0,22,0,8.99294318514876e-05,8.99294318514876e-05
3,0,23,0,1.4499337730455863e-08,1.4499337730455863e-08
3,0,24,0,1.876048593885582e-15,1.8748464423751915e-15
3,0,25,0,2.4754822226842493e-19,1.8754818539840236e-19
3,0,26,0,2.9895525361118405e-18,2.975575872096685e-18
3,0,27,0,2.7794122390992562e-14,2.7794119002860773e-14
3,0,28,0,6.966033999633581e-11,6.96603330574419e-11
3,0,29,0,1.8711753338191556e-13,1.8711754693444271e-13
3,0,30,0,1.6628078377594728e-20,1.6628073530833326e-20
3,0,31,0,1.1253325145297656e-25,6.469675081227769e-26
3,0,32,0,9.482984536776699e-22,9.402607057381623e-22
3,1,1,1,0.275894433259964,0.2743593454360962
3,1,2,1,0.03917178884148598,0.03746036812663078
3,1,3,1,0.03686803579330444,0.03556767478585243
3,1,4,0,0.0442010872066021,0.042329542338848114
3,1,5,0,0.04019081965088844,0.03867804631590843
3,1,6,0,0.03654295951128006,0.03518512845039368
3,1,7,0,0.03182350844144821,0.03078450635075569
3,1,8,0,0.03095736727118492,0.02989516593515873
3,1,9,0,0.0305910874158144,0.029623519629240036
3,1,10,0,0.030264534056186676,0.02918822504580021
3,1,11,0,0.027123749256134033,0.02626459114253521
3,1,12,0,0.022887494415044785,0.022188547998666763
3,1,13,0,0.020677508786320686,0.020143790170550346
3,1,14,0,0.01895073801279068,0.01843247003853321
3,1,15,0,0.019557921215891838,0.019063381478190422
3,1,16,0,0.01989390142261982,0.019349845126271248
3,1,17,0,0.02040545828640461,0.019882382825016975
3,1,18,0,0.01916428655385971,0.01864275150001049
3,1,19,0,0.018937338143587112,0.01849263161420822
3,1,20,0,0.018326466903090477,0.017877010628581047
3,1,21,0,0.019921058788895607,0.019427787512540817
3,1,22,0,0.020751362666487694,0.02013554237782955
3,1,23,0,0.022087089717388153,0.021414248272776604
3,1,24,0,0.020516039803624153,0.01985659822821617
3,1,25,0,0.018680313602089882,0.018141143023967743
3,1,26,0,0.016373127698898315,0.015856923535466194
3,1,27,0,0.016358738765120506,0.015872985124588013
3,1,28,0,0.015990382060408592,0.015458624809980392
3,1,29,0,0.015528300777077675,0.0150149529799819
3,1,30,0,0.013541478663682938,0.013067522086203098
3,1,31,0,0.009784767404198647,0.009500873275101185
3,1,32,0,0.008036885410547256,0.007834543474018574
4,0,1,1,0.43092983961105347,0.37365034222602844
4,0,2,1,0.31660157442092896,0.29794180393218994
4,0,3,1,0.25167205929756165,0.24960318207740784
4,0,4,1,0.0007004397921264172,0.0006964054191485047
4,0,5,0,7.38724992288553e-09,7.588912276368376e-10
