test_ar_order,layer,lag,is_within_ar_order,distributed_context_normalized_attention
2,0,15,0,0.007830590009689331
2,0,16,0,0.007830590009689331
2,0,17,0,0.008296532556414604
2,0,18,0,0.008296532556414604
2,0,19,0,0.008109544403851032
2,0,20,0,0.008109544403851032
2,0,21,0,0.0074513815343379974
2,0,22,0,0.0074513815343379974
2,0,23,0,0.008842035196721554
2,0,24,0,0.008842035196721554
2,0,25,0,0.006625514943152666
2,0,26,0,0.006625514943152666
2,0,27,0,0.006782649550586939
2,0,28,0,0.006782649550586939
2,0,29,0,0.007533355616033077
2,0,30,0,0.007533355616033077
2,0,31,0,0.012510773725807667
2,0,32,0,0.012510773725807667
2,1,1,1,0.04616734758019447
2,1,2,1,0.04616734758019447
2,1,3,0,0.045229725539684296
2,1,4,0,0.045229725539684296
2,1,5,0,0.04129142314195633
2,1,6,0,0.04129142314195633
2,1,7,0,0.036761969327926636
2,1,8,0,0.036761969327926636
2,1,9,0,0.03435526043176651
2,1,10,0,0.03435526043176651
2,1,11,0,0.03379549831151962
2,1,12,0,0.03379549831151962
2,1,13,0,0.033265359699726105
2,1,14,0,0.033265359699726105
2,1,15,0,0.03297125920653343
2,1,16,0,0.03297125920653343
2,1,17,0,0.03081953525543213
2,1,18,0,0.03081953525543213
2,1,19,0,0.028744196519255638
2,1,20,0,0.028744196519255638
2,1,21,0,0.026247411966323853
2,1,22,0,0.026247411966323853
2,1,23,0,0.025014016777276993
2,1,24,0,0.025014016777276993
2,1,25,0,0.024538420140743256
2,1,26,0,0.024538420140743256
2,1,27,0,0.025480657815933228
2,1,28,0,0.025480657815933228
2,1,29,0,0.01917991228401661
2,1,30,0,0.01917991228401661
2,1,31,0,0.01613806188106537
2,1,32,0,0.01613806188106537
3,0,1,1,0.22416719794273376
3,0,2,1,0.22416719794273376
3,0,3,1,0.1354546695947647
3,0,4,0,0.1354546695947647
3,0,5,0,0.00973175372928381
3,0,6,0,0.00973175372928381
3,0,7,0,0.01266886480152607
3,0,8,0,0.01266886480152607
3,0,9,0,0.02572273463010788
3,0,10,0,0.02572273463010788
3,0,11,0,0.009767627343535423
3,0,12,0,0.009767627343535423
3,0,13,0,0.00743913883343339
3,0,14,0,0.00743913883343339
3,0,15,0,0.0078295161947608
3,0,16,0,0.0078295161947608
3,0,17,0,0.008329825475811958
3,0,18,0,0.008329825475811958
3,0,19,0,0.008009178563952446
3,0,20,0,0.008009178563952446
3,0,21,0,0.007513898424804211
3,0,22,0,0.007513898424804211
3,0,23,0,0.00933696050196886
3,0,24,0,0.00933696050196886
3,0,25,0,0.006665505934506655
3,0,26,0,0.006665505934506655
3,0,27,0,0.0068350606597959995
3,0,28,0,0.0068350606597959995
3,0,29,0,0.007656293921172619
3,0,30,0,0.007656293921172619
3,0,31,0,0.012871818616986275
3,0,32,0,0.012871818616986275
3,1,1,1,0.046055033802986145
3,1,2,1,0.046055033802986145
3,1,3,1,0.04546675831079483
3,1,4,0,0.04546675831079483
3,1,5,0,0.041865911334753036
3,1,6,0,0.041865911334753036
3,1,7,0,0.03734902665019035
3,1,8,0,0.03734902665019035
3,1,9,0,0.034898433834314346
3,1,10,0,0.034898433834314346
3,1,11,0,0.0336727537214756
3,1,12,0,0.0336727537214756
3,1,13,0,0.03340375795960426
3,1,14,0,0.03340375795960426
3,1,15,0,0.03269940987229347
3,1,16,0,0.03269940987229347
3,1,17,0,0.03078421577811241
3,1,18,0,0.03078421577811241
3,1,19,0,0.028159020468592644
3,1,20,0,0.028159020468592644
3,1,21,0,0.025697993114590645
3,1,22,0,0.025697993114590645
3,1,23,0,0.02481616660952568
3,1,24,0,0.02481616660952568
3,1,25,0,0.02448008581995964
3,1,26,0,0.02448008581995964
3,1,27,0,0.025090688839554787
3,1,28,0,0.025090688839554787
3,1,29,0,0.01913899928331375
3,1,30,0,0.01913899928331375
