test_ar_order,layer,patch_index,patch_label,patch_min_lag,patch_max_lag,patch_overlaps_true_support,context_normalized_attention
3,0,14,lags 5-6,5,6,0,0.01946350559592247
3,0,15,lags 3-4,3,4,1,0.27090930938720703
3,0,16,lags 1-2,1,2,1,0.44833433628082275
3,1,1,lags 31-32,31,32,0,0.03284340724349022
3,1,2,lags 29-30,29,30,0,0.0382780022919178
3,1,3,lags 27-28,27,28,0,0.05018138512969017
3,1,4,lags 25-26,25,26,0,0.04896017909049988
3,1,5,lags 23-24,23,24,0,0.04963234066963196
3,1,6,lags 21-22,21,22,0,0.05139599367976189
3,1,7,lags 19-20,19,20,0,0.056318048387765884
3,1,8,lags 17-18,17,18,0,0.06156843900680542
3,1,9,lags 15-16,15,16,0,0.06539882719516754
3,1,10,lags 13-14,13,14,0,0.06680752336978912
3,1,11,lags 11-12,11,12,0,0.0673455148935318
3,1,12,lags 9-10,9,10,0,0.06979687511920929
3,1,13,lags 7-8,7,8,0,0.0746980607509613
3,1,14,lags 5-6,5,6,0,0.08373183012008667
3,1,15,lags 3-4,3,4,1,0.09093352407217026
3,1,16,lags 1-2,1,2,1,0.09211007505655289
4,0,1,lags 31-32,31,32,0,0.02545701526105404
4,0,2,lags 29-30,29,30,0,0.015376821160316467
4,0,3,lags 27-28,27,28,0,0.013419633731245995
4,0,4,lags 25-26,25,26,0,0.013422276824712753
4,0,5,lags 23-24,23,24,0,0.017848344519734383
4,0,6,lags 21-22,21,22,0,0.014842142350971699
4,0,7,lags 19-20,19,20,0,0.01635945774614811
4,0,8,lags 17-18,17,18,0,0.016621273010969162
4,0,9,lags 15-16,15,16,0,0.015496208332479
4,0,10,lags 13-14,13,14,0,0.015124564059078693
4,0,11,lags 11-12,11,12,0,0.019725166261196136
4,0,12,lags 9-10,9,10,0,0.05168507620692253
4,0,13,lags 7-8,7,8,0,0.02461071126163006
4,0,14,lags 5-6,5,6,0,0.019981086254119873
4,0,15,lags 3-4,3,4,1,0.27069687843322754
4,0,16,lags 1-2,1,2,1,0.4493333399295807
4,1,1,lags 31-32,31,32,0,0.03185786306858063
4,1,2,lags 29-30,29,30,0,0.037618882954120636
4,1,3,lags 27-28,27,28,0,0.04975689947605133
4,1,4,lags 25-26,25,26,0,0.049759358167648315
4,1,5,lags 23-24,23,24,0,0.04981878027319908
4,1,6,lags 21-22,21,22,0,0.05217960104346275
4,1,7,lags 19-20,19,20,0,0.05688555911183357
4,1,8,lags 17-18,17,18,0,0.06168573349714279
4,1,9,lags 15-16,15,16,0,0.06573360413312912
4,1,10,lags 13-14,13,14,0,0.06670637428760529
4,1,11,lags 11-12,11,12,0,0.06578266620635986
4,1,12,lags 9-10,9,10,0,0.0693923830986023
4,1,13,lags 7-8,7,8,0,0.07538516074419022
4,1,14,lags 5-6,5,6,0,0.08528906106948853
4,1,15,lags 3-4,3,4,1,0.09118993580341339
4,1,16,lags 1-2,1,2,1,0.0909581333398819
5,0,1,lags 31-32,31,32,0,0.025171590968966484
5,0,2,lags 29-30,29,30,0,0.01521714311093092
5,0,3,lags 27-28,27,28,0,0.013320671394467354
5,0,4,lags 25-26,25,26,0,0.013427246361970901
5,0,5,lags 23-24,23,24,0,0.017744505777955055
5,0,6,lags 21-22,21,22,0,0.014773400500416756
5,0,7,lags 19-20,19,20,0,0.016298778355121613
5,0,8,lags 17-18,17,18,0,0.016749722883105278
5,0,9,lags 15-16,15,16,0,0.015413648448884487
5,0,10,lags 13-14,13,14,0,0.01459636352956295
5,0,11,lags 11-12,11,12,0,0.019634190946817398
5,0,12,lags 9-10,9,10,0,0.05048182234168053
5,0,13,lags 7-8,7,8,0,0.0251274686306715
5,0,14,lags 5-6,5,6,1,0.019934996962547302
5,0,15,lags 3-4,3,4,1,0.27140259742736816
5,0,16,lags 1-2,1,2,1,0.450705885887146
5,1,1,lags 31-32,31,32,0,0.03237853944301605
5,1,2,lags 29-30,29,30,0,0.03755579888820648
5,1,3,lags 27-28,27,28,0,0.04893102869391441
5,1,4,lags 25-26,25,26,0,0.04868127033114433
5,1,5,lags 23-24,23,24,0,0.04959597811102867
5,1,6,lags 21-22,21,22,0,0.05120333284139633
5,1,7,lags 19-20,19,20,0,0.05719400942325592
5,1,8,lags 17-18,17,18,0,0.06212403625249863
5,1,9,lags 15-16,15,16,0,0.06593267619609833
5,1,10,lags 13-14,13,14,0,0.06716093420982361
5,1,11,lags 11-12,11,12,0,0.06776746362447739
5,1,12,lags 9-10,9,10,0,0.0692896693944931
5,1,13,lags 7-8,7,8,0,0.0762140303850174
5,1,14,lags 5-6,5,6,1,0.08374669402837753
5,1,15,lags 3-4,3,4,1,0.09184467047452927
5,1,16,lags 1-2,1,2,1,0.09037987887859344
6,0,1,lags 31-32,31,32,0,0.025191614404320717
6,0,2,lags 29-30,29,30,0,0.015491288155317307
6,0,3,lags 27-28,27,28,0,0.013412917032837868
6,0,4,lags 25-26,25,26,0,0.01287255622446537
6,0,5,lags 23-24,23,24,0,0.01749744825065136
6,0,6,lags 21-22,21,22,0,0.015251563861966133
6,0,7,lags 19-20,19,20,0,0.016761599108576775
6,0,8,lags 17-18,17,18,0,0.016201330348849297
6,0,9,lags 15-16,15,16,0,0.015405906364321709
6,0,10,lags 13-14,13,14,0,0.014713509008288383
6,0,11,lags 11-12,11,12,0,0.019916968420147896
6,0,12,lags 9-10,9,10,0,0.05176033452153206
6,0,13,lags 7-8,7,8,0,0.024796955287456512
6,0,14,lags 5-6,5,6,1,0.01968168281018734
6,0,15,lags 3-4,3,4,1,0.27146950364112854
6,0,16,lags 1-2,1,2,1,0.4495747685432434
6,1,1,lags 31-32,31,32,0,0.03184901922941208
6,1,2,lags 29-30,29,30,0,0.03710620105266571
6,1,3,lags 27-28,27,28,0,0.04922708496451378
6,1,4,lags 25-26,25,26,0,0.049674976617097855
6,1,5,lags 23-24,23,24,0,0.049664612859487534
6,1,6,lags 21-22,21,22,0,0.05173101648688316
6,1,7,lags 19-20,19,20,0,0.05690755322575569
6,1,8,lags 17-18,17,18,0,0.06129596009850502
6,1,9,lags 15-16,15,16,0,0.06548011302947998
6,1,10,lags 13-14,13,14,0,0.06713228672742844
6,1,11,lags 11-12,11,12,0,0.06799128651618958
6,1,12,lags 9-10,9,10,0,0.07040207087993622
6,1,13,lags 7-8,7,8,0,0.07642576098442078
6,1,14,lags 5-6,5,6,1,0.08496180176734924
6,1,15,lags 3-4,3,4,1,0.09141764789819717
6,1,16,lags 1-2,1,2,1,0.08873263001441956
7,0,1,lags 31-32,31,32,0,0.02519124187529087
7,0,2,lags 29-30,29,30,0,0.014723270200192928
7,0,3,lags 27-28,27,28,0,0.013032492250204086
7,0,4,lags 25-26,25,26,0,0.012726513668894768
7,0,5,lags 23-24,23,24,0,0.017304055392742157
7,0,6,lags 21-22,21,22,0,0.014589406549930573
7,0,7,lags 19-20,19,20,0,0.016425112262368202
7,0,8,lags 17-18,17,18,0,0.016619065776467323
7,0,9,lags 15-16,15,16,0,0.01571192592382431
7,0,10,lags 13-14,13,14,0,0.014626475051045418
7,0,11,lags 11-12,11,12,0,0.018973175436258316
7,0,12,lags 9-10,9,10,0,0.05299577862024307
7,0,13,lags 7-8,7,8,1,0.02544938027858734
7,0,14,lags 5-6,5,6,1,0.02009211666882038
7,0,15,lags 3-4,3,4,1,0.2718557119369507
7,0,16,lags 1-2,1,2,1,0.4496842324733734
7,1,1,lags 31-32,31,32,0,0.031179649755358696
7,1,2,lags 29-30,29,30,0,0.03615757077932358
7,1,3,lags 27-28,27,28,0,0.04861252009868622
7,1,4,lags 25-26,25,26,0,0.048471011221408844
7,1,5,lags 23-24,23,24,0,0.0492950938642025
7,1,6,lags 21-22,21,22,0,0.05196274444460869
7,1,7,lags 19-20,19,20,0,0.05715540796518326
7,1,8,lags 17-18,17,18,0,0.062384169548749924
7,1,9,lags 15-16,15,16,0,0.06663139909505844
7,1,10,lags 13-14,13,14,0,0.06807324290275574
7,1,11,lags 11-12,11,12,0,0.06893055886030197
7,1,12,lags 9-10,9,10,0,0.07055170089006424
7,1,13,lags 7-8,7,8,1,0.07654861360788345
7,1,14,lags 5-6,5,6,1,0.08393411338329315
7,1,15,lags 3-4,3,4,1,0.08999107778072357
7,1,16,lags 1-2,1,2,1,0.09012110531330109
