checkpoint_label,checkpoint,train_ar_order,test_ar_order,is_diagonal,patch_size,patch_stride,median_mase_to_noisy_next_x,median_smape_percent_to_noisy_next_x,mean_wql_to_noisy_next_x,zero_mase_to_noisy_next_x,last_value_mase_to_noisy_next_x,ols_mase_to_noisy_next_x,analytic_optimum_mase_to_noisy_next_x,median_mae_to_noisy_next_x,median_mse_to_noisy_next_x,median_mse_to_conditional_mean,zero_mse_to_conditional_mean,model_mse_over_zero_mse,mase_improvement_vs_zero_percent,wql_q0.1,wql_q0.2,wql_q0.3,wql_q0.4,wql_q0.5,wql_q0.6,wql_q0.7,wql_q0.8,wql_q0.9,mase_over_matched_specialist,failure_mode
ar5,outputs\ar5\scalar\sanity\ar5_scalar_rope_seed7_best_model.pt,5,3,0,1,1,0.5983787178993225,100.55091381072998,0.5011711120605469,0.8647536039352417,1.0335279703140259,0.5411142110824585,0.5166463851928711,0.9510501027107239,1.4567877054214478,0.4236292243003845,3.001481771469116,0.1411400290107487,30.803558935600233,0.29684191942214966,0.4598120450973511,0.56236332654953,0.6215724945068359,0.6374397277832031,0.6195598244667053,0.5607825517654419,0.45774897933006287,0.29441940784454346,1.0196801115976228,good_transfer
ar5,outputs\ar5\scalar\sanity\ar5_scalar_rope_seed7_best_model.pt,5,4,0,1,1,0.5674704909324646,96.28331661224365,0.4582221210002899,0.8862643241882324,1.0273529291152954,0.4724936783313751,0.44289276003837585,1.0423692464828491,1.7683929204940796,0.8481907248497009,5.026864528656006,0.16873156617102533,35.97051405039516,0.27207380533218384,0.4222813844680786,0.5155318379402161,0.5667057633399963,0.5841040015220642,0.5664137601852417,0.5108563899993896,0.4176957309246063,0.2683365046977997,0.9805863861425145,good_transfer
ar5,outputs\ar5\scalar\sanity\ar5_scalar_rope_seed7_best_model.pt,5,5,1,1,1,0.566658079624176,92.98166632652283,0.4346442222595215,0.9181569218635559,1.082756757736206,0.43615418672561646,0.3960140347480774,1.2239658832550049,2.5032637119293213,1.4728631973266602,8.175668716430664,0.18015201550016854,38.283090163493306,0.25238457322120667,0.3946530818939209,0.48450765013694763,0.5388741493225098,0.5575624704360962,0.5425508618354797,0.4887480139732361,0.3976995050907135,0.25481775403022766,1.0,in_distribution
ar5,outputs\ar5\scalar\sanity\ar5_scalar_rope_seed7_best_model.pt,5,6,0,1,1,0.5558793544769287,92.1127200126648,0.4323953688144684,0.9250363707542419,1.0471694469451904,0.39065852761268616,0.34268826246261597,1.4041746854782104,3.431530714035034,2.4772207736968994,11.452367782592773,0.21630642856774077,39.907297480240224,0.25096410512924194,0.3924725651741028,0.48240309953689575,0.5352252125740051,0.5523139834403992,0.5376067757606506,0.4867164194583893,0.398576021194458,0.25527986884117126,1.0934976570272474,good_transfer
ar5,outputs\ar5\scalar\sanity\ar5_scalar_rope_seed7_best_model.pt,5,7,0,1,1,0.551408588886261,90.26690125465393,0.42722728848457336,0.9190888404846191,1.0607483386993408,0.36884400248527527,0.30740296840667725,1.5776180028915405,4.534976005554199,3.628450393676758,16.68950080871582,0.21740916251862122,40.004865188493305,0.24861489236354828,0.38870301842689514,0.47684457898139954,0.5263615250587463,0.5427785515785217,0.529892086982727,0.48241618275642395,0.3963097631931305,0.2531249523162842,1.0021648517725428,good_transfer
ar6,outputs\ar6\scalar\sanity\ar6_scalar_rope_seed7_best_model.pt,6,1,0,1,1,0.7854312658309937,126.95832252502441,0.7221289873123169,0.8518586754798889,1.026525855064392,0.7051758766174316,0.6919589042663574,0.8971890211105347,1.2574578523635864,0.3171544373035431,0.6477575898170471,0.48961902151253883,7.797937798951666,0.4226377308368683,0.6624330282211304,0.8189646601676941,0.8946851491928101,0.9192579388618469,0.8941347599029541,0.8133236765861511,0.6550614237785339,0.4186621308326721,1.092799581633991,good_transfer
ar6,outputs\ar6\scalar\sanity\ar6_scalar_rope_seed7_best_model.pt,6,2,0,1,1,0.6913062930107117,111.5276575088501,0.5877977609634399,0.8697932362556458,1.0245176553726196,0.6192891597747803,0.6004424095153809,0.9114526510238647,1.308058500289917,0.3509513735771179,1.616495966911316,0.21710624756317243,20.520617522079004,0.3466232717037201,0.5418988466262817,0.6679563522338867,0.7301937341690063,0.7481967806816101,0.7279940843582153,0.6597574353218079,0.5305976867675781,0.3369617462158203,1.0824433129077469,good_transfer
ar6,outputs\ar6\scalar\sanity\ar6_scalar_rope_seed7_best_model.pt,6,3,0,1,1,0.6034250855445862,99.9651551246643,0.49835702776908875,0.8647536039352417,1.0335279703140259,0.5411142110824585,0.5166463851928711,0.9462897181510925,1.4159053564071655,0.41868293285369873,3.001481771469116,0.13949207915687878,30.2199976041066,0.2922492027282715,0.45698869228363037,0.5651960968971252,0.6185092926025391,0.6342490911483765,0.6177971959114075,0.5590440034866333,0.4536130726337433,0.28756698966026306,1.0282794828148172,good_transfer
ar6,outputs\ar6\scalar\sanity\ar6_scalar_rope_seed7_best_model.pt,6,4,0,1,1,0.5438060164451599,92.47877597808838,0.43068909645080566,0.8862643241882324,1.0273529291152954,0.4724936783313751,0.44289276003837585,0.9839845299720764,1.5446900129318237,0.605141282081604,5.026864528656006,0.1203814581896831,38.640651371896844,0.25159120559692383,0.39501988887786865,0.4868510961532593,0.5357149839401245,0.5513874888420105,0.5313592553138733,0.48153549432754517,0.39221781492233276,0.2505246102809906,0.9396942835781372,good_transfer
ar6,outputs\ar6\scalar\sanity\ar6_scalar_rope_seed7_best_model.pt,6,5,0,1,1,0.5289774537086487,87.54269480705261,0.40487003326416016,0.9181569218635559,1.082756757736206,0.43615418672561646,0.3960140347480774,1.1400246620178223,2.146284818649292,1.1722768545150757,8.175668716430664,0.1433860513647217,42.38703198631898,0.23440183699131012,0.3698088228702545,0.45757195353507996,0.5047839283943176,0.5193240642547607,0.5035786628723145,0.4556448459625244,0.3660370409488678,0.2326791137456894,0.9335037701385671,good_transfer
ar6,outputs\ar6\scalar\sanity\ar6_scalar_rope_seed7_best_model.pt,6,6,1,1,1,0.5083498358726501,86.72437071800232,0.3923667371273041,0.9250363707542419,1.0471694469451904,0.39065852761268616,0.34268826246261597,1.2702054977416992,2.8067827224731445,1.8470203876495361,11.452367782592773,0.1612784729509776,45.04542178615532,0.22646360099315643,0.3547579348087311,0.4362870156764984,0.48279398679733276,0.4996189475059509,0.48850709199905396,0.4458238184452057,0.3631625771522522,0.23388545215129852,1.0,in_distribution
